series,court,surface,round,bestof,winner,loser,wrank,lrank,wpts,lpts,w1,l1,w2,l2,w3,l3,w4,l4,w5,l5,wsets,lsets,anho
ATP250,Outdoor,Hard,2nd Round,3,Copil M.,Simon G.,147,19,369,1790,7,5,6,3,,,,,,,2,0,2014
ATP250,Outdoor,Hard,2nd Round,3,Hewitt L.,Lopez F.,60,28,780,1310,7,5,6,3,,,,,,,2,0,2014
ATP250,Outdoor,Hard,2nd Round,3,Groth S.,Herbert P.H.,172,151,307,344,4,6,7,6,7,6,,,,,2,1,2014
ATP250,Outdoor,Hard,Quarterfinals,3,Nishikori K.,Cilic M.,17,37,1915,1130,6,4,5,7,6,2,,,,,2,1,2014
ATP250,Outdoor,Hard,Quarterfinals,3,Hewitt L.,Copil M.,60,147,780,369,6,4,6,2,,,,,,,2,0,2014
ATP250,Outdoor,Hard,Quarterfinals,3,Chardy J.,Groth S.,34,172,1175,307,7,5,6,4,,,,,,,2,0,2014
ATP250,Outdoor,Hard,Quarterfinals,3,Federer R.,Matosevic M.,6,61,4205,774,6,1,6,1,,,,,,,2,0,2014
ATP250,Outdoor,Hard,Semifinals,3,Hewitt L.,Nishikori K.,60,17,780,1915,5,7,6,4,6,3,,,,,2,1,2014
ATP250,Outdoor,Hard,Semifinals,3,Federer R.,Chardy J.,6,34,4205,1175,6,3,6,7,6,3,,,,,2,1,2014
ATP250,Outdoor,Hard,The Final,3,Hewitt L.,Federer R.,60,6,780,4205,6,1,4,6,6,3,,,,,2,1,2014
ATP250,Outdoor,Hard,1st Round,3,Lu Y.H.,Smyczek T.,65,89,730,600,6,4,6,2,,,,,,,2,0,2013
ATP250,Outdoor,Hard,1st Round,3,Vesely J.,Nedunchezhiyan J.,85,314,616,141,7,5,6,2,,,,,,,2,0,2013
ATP250,Outdoor,Hard,1st Round,3,Sela D.,Lacko L.,73,81,681,625,6,4,6,2,,,,,,,2,0,2013
ATP250,Outdoor,Hard,1st Round,3,Pospisil V.,Edmund K.,32,376,1219,110,6,3,7,5,,,,,,,2,0,2013
ATP250,Outdoor,Hard,1st Round,3,Bedene A.,Laaksonen H.,95,244,573,191,6,3,5,7,7,6,,,,,2,1,2013
